County of Residence,County of Residence Code,Births_MM,percent_MM,Avg_Age_MM,Average OE Gestational Age (weeks)_MM,Average LMP Gestational Age (weeks)_MM,Average Birth Weight (grams)_MM,Average Pre-pregnancy BMI_MM,Average Number of Prenatal Visits_MM,Average Interval Since Last Live Birth (months)_MM,Average Interval Since Last Other Pregnancy Outcome (months)_MM,Births_noMM,% of Total Births_noMM,Average Age of Mother (years)_noMM,Average OE Gestational Age (weeks)_noMM,Average LMP Gestational Age (weeks)_noMM,Average Birth Weight (grams)_noMM,Average Pre-pregnancy BMI_noMM,Average Number of Prenatal Visits_noMM,Average Interval Since Last Live Birth (months)_noMM,Average Interval Since Last Other Pregnancy Outcome (months)_noMM,county-id
"Carroll County, GA",13045.0,1579.0,0.04,27.35,38.22,38.45,3208.67,28.64,11.71,49.18,45.64,1579.0,0.04%,27.35,38.22,38.45,3208.67,28.64,11.71,49.18,45.64,13045
"Chatham County, GA",13051.0,3559.0,0.1,28.84,38.04,38.2,3143.97,28.7,9.49,53.38,49.34,3559.0,0.10%,28.84,38.04,38.2,3143.97,28.7,9.49,53.38,49.34,13051
"Cherokee County, GA",13057.0,2751.0,0.08,30.01,38.39,39.27,3296.12,27.59,10.22,47.48,46.77,2751.0,0.08%,30.01,38.39,39.27,3296.12,27.59,10.22,47.48,46.77,13057
"Clarke County, GA",13059.0,1391.0,0.04,29.05,38.15,38.24,3187.99,27.86,10.88,50.84,33.24,1391.0,0.04%,29.05,38.15,38.24,3187.99,27.86,10.88,50.84,33.24,13059
"Clayton County, GA",13063.0,3407.0,0.09,28.32,38.01,38.23,3051.05,29.0,10.24,54.69,51.86,3407.0,0.09%,28.32,38.01,38.23,3051.05,29.0,10.24,54.69,51.86,13063
"Cobb County, GA",13067.0,8833.0,0.24,30.41,38.36,38.71,3233.72,27.22,12.65,52.71,51.66,8833.0,0.24%,30.41,38.36,38.71,3233.72,27.22,12.65,52.71,51.66,13067
"Columbia County, GA",13073.0,1776.0,0.05,29.74,38.42,38.62,3289.38,27.33,11.66,49.64,48.46,1776.0,0.05%,29.74,38.42,38.62,3289.38,27.33,11.66,49.64,48.46,13073
"Coweta County, GA",13077.0,1624.0,0.05,28.97,38.05,38.3,3213.44,27.51,12.99,48.83,48.61,1624.0,0.05%,28.97,38.05,38.3,3213.44,27.51,12.99,48.83,48.61,13077
"DeKalb County, GA",13089.0,9942.0,0.28,30.19,38.33,38.48,3161.3,26.94,10.7,52.89,43.59,9942.0,0.28%,30.19,38.33,38.48,3161.3,26.94,10.7,52.89,43.59,13089
"Douglas County, GA",13097.0,1643.0,0.05,29.12,38.17,38.35,3141.79,29.07,11.86,59.17,54.87,1643.0,0.05%,29.12,38.17,38.35,3141.79,29.07,11.86,59.17,54.87,13097
"Fayette County, GA",13113.0,888.0,0.02,30.86,38.24,38.43,3238.1,26.77,12.16,49.46,47.79,888.0,0.02%,30.86,38.24,38.43,3238.1,26.77,12.16,49.46,47.79,13113
"Forsyth County, GA",13117.0,2251.0,0.06,31.48,38.37,38.58,3276.89,26.53,11.98,52.69,45.65,2251.0,0.06%,31.48,38.37,38.58,3276.89,26.53,11.98,52.69,45.65,13117
"Fulton County, GA",13121.0,12103.0,0.34,30.5,38.25,38.5,3144.25,26.86,10.99,51.5,46.64,12103.0,0.34%,30.5,38.25,38.5,3144.25,26.86,10.99,51.5,46.64,13121
"Gwinnett County, GA",13135.0,10699.0,0.3,30.12,38.32,38.5,3211.51,27.66,11.6,56.41,52.57,10699.0,0.30%,30.12,38.32,38.5,3211.51,27.66,11.6,56.41,52.57,13135
"Hall County, GA",13139.0,2588.0,0.07,28.21,38.32,38.41,3255.06,28.24,11.59,51.94,41.69,2588.0,0.07%,28.21,38.32,38.41,3255.06,28.24,11.59,51.94,41.69,13139
"Henry County, GA",13151.0,2749.0,0.08,29.15,38.09,38.26,3129.61,29.08,11.4,58.98,50.5,2749.0,0.08%,29.15,38.09,38.26,3129.61,29.08,11.4,58.98,50.5,13151
"Houston County, GA",13153.0,1901.0,0.05,28.15,38.25,38.54,3228.85,28.69,10.24,54.17,43.34,1901.0,0.05%,28.15,38.25,38.54,3228.85,28.69,10.24,54.17,43.34,13153
"Lowndes County, GA",13185.0,1647.0,0.05,27.49,38.02,38.23,3150.93,29.9,11.51,48.51,47.55,1647.0,0.05%,27.49,38.02,38.23,3150.93,29.9,11.51,48.51,47.55,13185
"Muscogee County, GA",13215.0,2689.0,0.07,27.6,37.94,38.1,3107.59,28.5,10.78,50.54,49.48,2689.0,0.07%,27.6,37.94,38.1,3107.59,28.5,10.78,50.54,49.48,13215
"Paulding County, GA",13223.0,1804.0,0.05,29.11,38.19,38.47,3236.58,28.54,13.18,51.03,52.91,1804.0,0.05%,29.11,38.19,38.47,3236.58,28.54,13.18,51.03,52.91,13223
"Richmond County, GA",13245.0,2735.0,0.08,27.62,38.08,38.27,3093.53,28.58,10.68,51.52,48.07,2735.0,0.08%,27.62,38.08,38.27,3093.53,28.58,10.68,51.52,48.07,13245
"Whitfield County, GA",13313.0,1212.0,0.03,27.26,38.28,38.51,3252.68,29.41,12.04,57.77,53.11,1212.0,0.03%,27.26,38.28,38.51,3252.68,29.41,12.04,57.77,53.11,13313
"Unidentified Counties, GA",13999.0,39387.0,1.09,27.39,38.09,38.27,3189.47,29.0,11.32,50.97,46.22,39387.0,1.09%,27.39,38.09,38.27,3189.47,29.0,11.32,50.97,46.22,13999
"Hawaii County, HI",15001.0,2040.0,0.06,29.81,38.34,38.83,3202.02,27.71,9.61,53.03,62.87,2040.0,0.06%,29.81,38.34,38.83,3202.02,27.71,9.61,53.03,62.87,15001
"Honolulu County, HI",15003.0,10977.0,0.3,30.12,38.37,38.56,3227.21,27.98,9.59,49.42,57.89,10977.0,0.30%,30.12,38.37,38.56,3227.21,27.98,9.59,49.42,57.89,15003
"Maui County, HI",15009.0,1667.0,0.05,30.2,38.59,38.79,3226.11,26.44,11.42,51.42,63.83,1667.0,0.05%,30.2,38.59,38.79,3226.11,26.44,11.42,51.42,63.83,15009
"Unidentified Counties, HI",15999.0,805.0,0.02,30.07,38.61,38.91,3227.07,26.44,11.55,52.44,67.93,805.0,0.02%,30.07,38.61,38.91,3227.07,26.44,11.55,52.44,67.93,15999
"Ada County, ID",16001.0,4993.0,0.14,30.14,38.61,38.87,3329.71,26.33,12.06,45.8,43.25,4993.0,0.14%,30.14,38.61,38.87,3329.71,26.33,12.06,45.8,43.25,16001
"Bonneville County, ID",16019.0,1793.0,0.05,28.16,38.24,38.36,3210.01,27.86,11.79,44.73,41.52,1793.0,0.05%,28.16,38.24,38.36,3210.01,27.86,11.79,44.73,41.52,16019
"Canyon County, ID",16027.0,3221.0,0.09,28.1,38.49,38.82,3323.34,28.29,11.07,48.26,49.12,3221.0,0.09%,28.1,38.49,38.82,3323.34,28.29,11.07,48.26,49.12,16027
"Kootenai County, ID",16055.0,1850.0,0.05,29.28,38.69,38.99,3392.43,26.15,12.18,44.4,44.32,1850.0,0.05%,29.28,38.69,38.99,3392.43,26.15,12.18,44.4,44.32,16055
"Unidentified Counties, ID",16999.0,10191.0,0.28,27.8,38.45,38.58,3272.13,27.66,11.05,43.7,45.06,10191.0,0.28%,27.8,38.45,38.58,3272.13,27.66,11.05,43.7,45.06,16999
"Champaign County, IL",17019.0,2062.0,0.06,29.22,38.21,38.41,3240.98,28.24,13.17,48.67,40.82,2062.0,0.06%,29.22,38.21,38.41,3240.98,28.24,13.17,48.67,40.82,17019
"Cook County, IL",17031.0,53066.0,1.47,30.67,38.3,38.49,3225.92,27.58,10.74,52.64,47.64,53066.0,1.47%,30.67,38.3,38.49,3225.92,27.58,10.74,52.64,47.64,17031
"DeKalb County, IL",17037.0,1037.0,0.03,29.09,38.14,38.41,3241.26,28.56,11.39,49.75,44.56,1037.0,0.03%,29.09,38.14,38.41,3241.26,28.56,11.39,49.75,44.56,17037
"DuPage County, IL",17043.0,9674.0,0.27,31.7,38.43,38.65,3295.91,26.59,11.71,45.63,43.17,9674.0,0.27%,31.7,38.43,38.65,3295.91,26.59,11.71,45.63,43.17,17043
"Kane County, IL",17089.0,5525.0,0.15,30.18,38.21,38.48,3274.99,28.17,11.47,51.68,47.95,5525.0,0.15%,30.18,38.21,38.48,3274.99,28.17,11.47,51.68,47.95,17089
"Kankakee County, IL",17091.0,1140.0,0.03,28.28,38.36,38.62,3264.76,28.82,10.38,50.98,48.41,1140.0,0.03%,28.28,38.36,38.62,3264.76,28.82,10.38,50.98,48.41,17091
"Kendall County, IL",17093.0,1568.0,0.04,30.63,38.3,38.52,3299.02,28.3,11.67,49.18,52.38,1568.0,0.04%,30.63,38.3,38.52,3299.02,28.3,11.67,49.18,52.38,17093
"Lake County, IL",17097.0,6758.0,0.19,30.73,38.31,38.58,3278.1,27.83,11.74,51.01,43.47,6758.0,0.19%,30.73,38.31,38.58,3278.1,27.83,11.74,51.01,43.47,17097
"LaSalle County, IL",17099.0,1112.0,0.03,28.27,38.27,38.56,3302.13,28.95,12.41,47.54,52.44,1112.0,0.03%,28.27,38.27,38.56,3302.13,28.95,12.41,47.54,52.44,17099
"McHenry County, IL",17111.0,3052.0,0.08,30.72,38.29,38.53,3319.88,28.19,11.66,47.47,49.07,3052.0,0.08%,30.72,38.29,38.53,3319.88,28.19,11.66,47.47,49.07,17111
"McLean County, IL",17113.0,1671.0,0.05,29.49,38.49,38.68,3310.07,28.17,11.62,43.82,38.64,1671.0,0.05%,29.49,38.49,38.68,3310.07,28.17,11.62,43.82,38.64,17113
"Macon County, IL",17115.0,1161.0,0.03,27.66,38.11,38.21,3211.01,29.18,10.85,47.86,50.45,1161.0,0.03%,27.66,38.11,38.21,3211.01,29.18,10.85,47.86,50.45,17115
"Madison County, IL",17119.0,2758.0,0.08,28.77,38.12,38.34,3222.98,29.15,10.98,48.99,45.66,2758.0,0.08%,28.77,38.12,38.34,3222.98,29.15,10.98,48.99,45.66,17119
"Peoria County, IL",17143.0,2099.0,0.06,28.28,38.31,38.45,3240.15,28.73,11.51,45.85,41.86,2099.0,0.06%,28.28,38.31,38.45,3240.15,28.73,11.51,45.85,41.86,17143
"Rock Island County, IL",17161.0,1502.0,0.04,28.39,38.22,38.4,3268.38,29.48,11.92,49.13,50.3,1502.0,0.04%,28.39,38.22,38.4,3268.38,29.48,11.92,49.13,50.3,17161
"St. Clair County, IL",17163.0,2693.0,0.07,28.93,38.07,38.24,3172.24,29.3,11.06,51.0,53.16,2693.0,0.07%,28.93,38.07,38.24,3172.24,29.3,11.06,51.0,53.16,17163
"Sangamon County, IL",17167.0,1998.0,0.06,28.86,37.86,38.09,3137.47,28.78,11.24,47.91,45.75,1998.0,0.06%,28.86,37.86,38.09,3137.47,28.78,11.24,47.91,45.75,17167
"Tazewell County, IL",17179.0,1271.0,0.04,28.47,38.45,38.63,3358.33,28.5,12.03,45.23,42.32,1271.0,0.04%,28.47,38.45,38.63,3358.33,28.5,12.03,45.23,42.32,17179
"Will County, IL",17197.0,6871.0,0.19,30.48,38.25,38.47,3283.91,28.2,11.2,49.03,47.79,6871.0,0.19%,30.48,38.25,38.47,3283.91,28.2,11.2,49.03,47.79,17197
"Winnebago County, IL",17201.0,3187.0,0.09,28.24,38.09,38.39,3208.93,29.62,11.81,48.87,42.83,3187.0,0.09%,28.24,38.09,38.39,3208.93,29.62,11.81,48.87,42.83,17201
"Unidentified Counties, IL",17999.0,19519.0,0.54,27.94,38.23,38.52,3279.61,29.03,11.58,46.3,44.74,19519.0,0.54%,27.94,38.23,38.52,3279.61,29.03,11.58,46.3,44.74,17999
"Allen County, IN",18003.0,5226.0,0.14,28.38,38.3,38.4,3251.11,28.31,12.56,44.11,47.5,5226.0,0.14%,28.38,38.3,38.4,3251.11,28.31,12.56,44.11,47.5,18003
"Clark County, IN",18019.0,1398.0,0.04,28.08,38.31,38.47,3295.76,28.66,11.31,49.08,45.36,1398.0,0.04%,28.08,38.31,38.47,3295.76,28.66,11.31,49.08,45.36,18019
"Delaware County, IN",18035.0,1102.0,0.03,27.25,38.25,38.37,3281.38,29.24,10.81,47.16,44.83,1102.0,0.03%,27.25,38.25,38.37,3281.38,29.24,10.81,47.16,44.83,18035
"Elkhart County, IN",18039.0,2879.0,0.08,27.57,38.54,38.69,3320.61,28.3,10.95,45.8,52.59,2879.0,0.08%,27.57,38.54,38.69,3320.61,28.3,10.95,45.8,52.59,18039
"Hamilton County, IN",18057.0,3931.0,0.11,31.2,38.29,38.43,3303.07,26.54,12.32,43.17,40.86,3931.0,0.11%,31.2,38.29,38.43,3303.07,26.54,12.32,43.17,40.86,18057
"Hendricks County, IN",18063.0,1780.0,0.05,29.89,38.24,38.33,3318.17,28.12,12.35,45.31,45.86,1780.0,0.05%,29.89,38.24,38.33,3318.17,28.12,12.35,45.31,45.86,18063
"Johnson County, IN",18081.0,1845.0,0.05,28.85,38.2,38.36,3284.29,28.58,11.75,46.78,44.55,1845.0,0.05%,28.85,38.2,38.36,3284.29,28.58,11.75,46.78,44.55,18081
"Lake County, IN",18089.0,5364.0,0.15,28.81,38.25,38.38,3236.64,28.68,10.75,49.3,49.13,5364.0,0.15%,28.81,38.25,38.38,3236.64,28.68,10.75,49.3,49.13,18089
"La Porte County, IN",18091.0,1152.0,0.03,28.09,38.32,38.45,3267.64,28.74,10.3,48.79,56.35,1152.0,0.03%,28.09,38.32,38.45,3267.64,28.74,10.3,48.79,56.35,18091
"Madison County, IN",18095.0,1380.0,0.04,27.32,38.01,38.16,3213.38,29.71,10.98,47.87,45.91,1380.0,0.04%,27.32,38.01,38.16,3213.38,29.71,10.98,47.87,45.91,18095
"Marion County, IN",18097.0,13537.0,0.38,28.5,38.15,38.25,3206.27,28.47,10.69,51.31,42.71,13537.0,0.38%,28.5,38.15,38.25,3206.27,28.47,10.69,51.31,42.71,18097
"Monroe County, IN",18105.0,1111.0,0.03,29.4,38.47,38.72,3301.54,28.1,12.96,43.14,48.9,1111.0,0.03%,29.4,38.47,38.72,3301.54,28.1,12.96,43.14,48.9,18105
"Porter County, IN",18127.0,1616.0,0.04,29.36,38.39,38.56,3332.41,28.95,10.23,46.11,47.91,1616.0,0.04%,29.36,38.39,38.56,3332.41,28.95,10.23,46.11,47.91,18127
"St. Joseph County, IN",18141.0,3241.0,0.09,28.18,38.39,38.46,3256.0,27.91,11.39,45.71,53.44,3241.0,0.09%,28.18,38.39,38.46,3256.0,27.91,11.39,45.71,53.44,18141
"Tippecanoe County, IN",18157.0,1994.0,0.06,28.45,38.15,38.3,3220.44,27.97,11.2,44.7,48.31,1994.0,0.06%,28.45,38.15,38.3,3220.44,27.97,11.2,44.7,48.31,18157
"Vanderburgh County, IN",18163.0,2118.0,0.06,27.88,37.91,38.07,3202.52,28.5,12.47,48.2,47.95,2118.0,0.06%,27.88,37.91,38.07,3202.52,28.5,12.47,48.2,47.95,18163
"Vigo County, IN",18167.0,1112.0,0.03,26.95,38.07,38.19,3225.38,29.54,11.26,45.45,47.73,1112.0,0.03%,26.95,38.07,38.19,3225.38,29.54,11.26,45.45,47.73,18167
"Unidentified Counties, IN",18999.0,27871.0,0.77,27.69,38.32,38.5,3295.88,28.59,11.5,44.22,45.31,27871.0,0.77%,27.69,38.32,38.5,3295.88,28.59,11.5,44.22,45.31,18999
"Black Hawk County, IA",19013.0,1598.0,0.04,28.59,38.39,38.6,3280.56,28.14,11.18,46.08,44.47,1598.0,0.04%,28.59,38.39,38.6,3280.56,28.14,11.18,46.08,44.47,19013
"Johnson County, IA",19103.0,1564.0,0.04,30.64,38.46,38.69,3287.11,26.69,10.71,42.0,36.16,1564.0,0.04%,30.64,38.46,38.69,3287.11,26.69,10.71,42.0,36.16,19103
"Linn County, IA",19113.0,2535.0,0.07,29.09,38.33,38.61,3305.1,28.17,12.12,46.07,47.61,2535.0,0.07%,29.09,38.33,38.61,3305.1,28.17,12.12,46.07,47.61,19113
"Polk County, IA",19153.0,6352.0,0.18,29.35,38.36,38.59,3312.82,27.67,11.61,46.36,44.29,6352.0,0.18%,29.35,38.36,38.59,3312.82,27.67,11.61,46.36,44.29,19153
"Scott County, IA",19163.0,1837.0,0.05,28.81,38.43,38.67,3318.51,28.12,12.96,46.35,47.19,1837.0,0.05%,28.81,38.43,38.67,3318.51,28.12,12.96,46.35,47.19,19163
"Woodbury County, IA",19193.0,1378.0,0.04,28.24,38.18,38.29,3250.96,28.35,11.73,48.79,59.62,1378.0,0.04%,28.24,38.18,38.29,3250.96,28.35,11.73,48.79,59.62,19193
"Unidentified Counties, IA",19999.0,20681.0,0.57,28.66,38.39,38.59,3338.75,28.31,11.22,44.43,45.33,20681.0,0.57%,28.66,38.39,38.59,3338.75,28.31,11.22,44.43,45.33,19999
"Douglas County, KS",20045.0,1043.0,0.03,29.5,38.37,38.37,3307.64,28.32,11.48,46.78,45.08,1043.0,0.03%,29.5,38.37,38.37,3307.64,28.32,11.48,46.78,45.08,20045
"Johnson County, KS",20091.0,6948.0,0.19,30.96,38.39,38.42,3324.2,26.74,11.33,43.7,44.01,6948.0,0.19%,30.96,38.39,38.42,3324.2,26.74,11.33,43.7,44.01,20091
"Sedgwick County, KS",20173.0,6484.0,0.18,28.2,38.24,38.23,3268.77,27.59,10.84,47.68,46.32,6484.0,0.18%,28.2,38.24,38.23,3268.77,27.59,10.84,47.68,46.32,20173
"Shawnee County, KS",20177.0,1936.0,0.05,28.24,38.25,38.31,3283.85,28.73,11.0,49.21,52.36,1936.0,0.05%,28.24,38.25,38.31,3283.85,28.73,11.0,49.21,52.36,20177
"Wyandotte County, KS",20209.0,2289.0,0.06,27.74,38.12,38.06,3192.43,29.19,9.72,51.68,50.33,2289.0,0.06%,27.74,38.12,38.06,3192.43,29.19,9.72,51.68,50.33,20209
"Unidentified Counties, KS",20999.0,15585.0,0.43,27.92,38.37,38.39,3297.12,28.41,10.68,45.81,44.13,15585.0,0.43%,27.92,38.37,38.39,3297.12,28.41,10.68,45.81,44.13,20999
"Boone County, KY",21015.0,1715.0,0.05,29.33,38.25,38.48,3276.15,27.32,10.8,44.45,52.09,1715.0,0.05%,29.33,38.25,38.48,3276.15,27.32,10.8,44.45,52.09,21015
"Fayette County, KY",21067.0,3590.0,0.1,29.46,38.16,38.29,3222.92,27.25,11.83,49.84,43.35,3590.0,0.10%,29.46,38.16,38.29,3222.92,27.25,11.83,49.84,43.35,21067
"Hardin County, KY",21093.0,1413.0,0.04,27.81,38.15,38.47,3229.08,30.26,9.8,47.85,44.95,1413.0,0.04%,27.81,38.15,38.47,3229.08,30.26,9.8,47.85,44.95,21093
"Jefferson County, KY",21111.0,9083.0,0.25,28.94,38.19,38.5,3227.02,27.76,11.48,49.07,43.78,9083.0,0.25%,28.94,38.19,38.5,3227.02,27.76,11.48,49.07,43.78,21111
"Kenton County, KY",21117.0,2134.0,0.06,28.75,38.19,38.49,3258.4,27.75,10.57,44.0,48.88,2134.0,0.06%,28.75,38.19,38.49,3258.4,27.75,10.57,44.0,48.88,21117
"Warren County, KY",21227.0,1813.0,0.05,28.11,38.25,38.53,3264.0,27.5,10.45,48.07,43.56,1813.0,0.05%,28.11,38.25,38.53,3264.0,27.5,10.45,48.07,43.56,21227
"Unidentified Counties, KY",21999.0,31502.0,0.87,27.13,38.09,38.38,3255.65,28.93,11.39,47.36,44.95,31502.0,0.87%,27.13,38.09,38.38,3255.65,28.93,11.39,47.36,44.95,21999
"Ascension Parish, LA",22005.0,1649.0,0.05,28.94,38.11,38.17,3211.27,28.14,10.34,50.23,41.64,1649.0,0.05%,28.94,38.11,38.17,3211.27,28.14,10.34,50.23,41.64,22005
"Bossier Parish, LA",22015.0,1591.0,0.04,28.06,37.8,37.92,3155.28,28.34,10.98,51.01,42.35,1591.0,0.04%,28.06,37.8,37.92,3155.28,28.34,10.98,51.01,42.35,22015
"Caddo Parish, LA",22017.0,2804.0,0.08,27.6,37.59,37.58,3036.73,29.22,10.36,51.52,41.61,2804.0,0.08%,27.6,37.59,37.58,3036.73,29.22,10.36,51.52,41.61,22017
"Calcasieu Parish, LA",22019.0,2565.0,0.07,27.55,38.06,38.1,3175.3,27.76,8.53,46.9,45.7,2565.0,0.07%,27.55,38.06,38.1,3175.3,27.76,8.53,46.9,45.7,22019
"East Baton Rouge Parish, LA",22033.0,5548.0,0.15,28.2,37.99,38.04,3110.54,28.35,9.87,51.25,42.6,5548.0,0.15%,28.2,37.99,38.04,3110.54,28.35,9.87,51.25,42.6,22033
"Jefferson Parish, LA",22051.0,5181.0,0.14,29.12,38.15,38.35,3178.68,28.29,12.59,55.12,45.37,5181.0,0.14%,29.12,38.15,38.35,3178.68,28.29,12.59,55.12,45.37,22051
"Lafayette Parish, LA",22055.0,3385.0,0.09,28.51,38.19,38.47,3193.04,27.32,14.59,51.02,42.04,3385.0,0.09%,28.51,38.19,38.47,3193.04,27.32,14.59,51.02,42.04,22055
"Livingston Parish, LA",22063.0,1848.0,0.05,27.85,38.12,38.22,3235.33,28.45,10.29,51.39,41.92,1848.0,0.05%,27.85,38.12,38.22,3235.33,28.45,10.29,51.39,41.92,22063
"Orleans Parish, LA",22071.0,4056.0,0.11,29.8,38.1,38.22,3108.85,27.55,12.76,53.08,48.18,4056.0,0.11%,29.8,38.1,38.22,3108.85,27.55,12.76,53.08,48.18,22071
"Ouachita Parish, LA",22073.0,2043.0,0.06,27.23,37.74,37.92,3069.88,29.28,10.2,50.16,44.22,2043.0,0.06%,27.23,37.74,37.92,3069.88,29.28,10.2,50.16,44.22,22073
"Rapides Parish, LA",22079.0,1689.0,0.05,26.97,37.86,35.56,3125.1,28.93,10.84,51.19,52.01,1689.0,0.05%,26.97,37.86,35.56,3125.1,28.93,10.84,51.19,52.01,22079
"St. Tammany Parish, LA",22103.0,3060.0,0.08,29.61,38.22,38.39,3232.44,27.42,11.66,52.61,48.88,3060.0,0.08%,29.61,38.22,38.39,3232.44,27.42,11.66,52.61,48.88,22103
"Tangipahoa Parish, LA",22105.0,1958.0,0.05,27.58,38.05,38.2,3156.8,29.21,10.76,50.43,44.8,1958.0,0.05%,27.58,38.05,38.2,3156.8,29.21,10.76,50.43,44.8,22105
"Terrebonne Parish, LA",22109.0,1369.0,0.04,27.22,37.98,38.11,3178.84,29.7,11.99,50.47,48.68,1369.0,0.04%,27.22,37.98,38.11,3178.84,29.7,11.99,50.47,48.68,22109
"Unidentified Counties, LA",22999.0,17981.0,0.5,27.02,37.92,37.93,3145.86,29.22,11.55,49.79,45.95,17981.0,0.50%,27.02,37.92,37.93,3145.86,29.22,11.55,49.79,45.95,22999
"Androscoggin County, ME",23001.0,1094.0,0.03,28.66,38.38,38.53,3281.53,28.84,11.03,45.17,46.44,1094.0,0.03%,28.66,38.38,38.53,3281.53,28.84,11.03,45.17,46.44,23001
"Cumberland County, ME",23005.0,2749.0,0.08,31.73,38.54,38.69,3321.44,27.27,11.47,45.19,42.36,2749.0,0.08%,31.73,38.54,38.69,3321.44,27.27,11.47,45.19,42.36,23005
"Kennebec County, ME",23011.0,1086.0,0.03,28.78,38.58,38.89,3326.8,29.13,12.67,49.92,40.67,1086.0,0.03%,28.78,38.58,38.89,3326.8,29.13,12.67,49.92,40.67,23011
"Penobscot County, ME",23019.0,1288.0,0.04,29.14,38.22,38.28,3311.29,27.37,14.51,49.29,34.5,1288.0,0.04%,29.14,38.22,38.28,3311.29,27.37,14.51,49.29,34.5,23019
"York County, ME",23031.0,1780.0,0.05,30.35,38.57,38.78,3355.64,28.1,11.71,47.69,43.32,1780.0,0.05%,30.35,38.57,38.78,3355.64,28.1,11.71,47.69,43.32,23031
"Unidentified Counties, ME",23999.0,3694.0,0.1,28.79,38.49,38.74,3322.95,28.47,12.56,48.41,46.6,3694.0,0.10%,28.79,38.49,38.74,3322.95,28.47,12.56,48.41,46.6,23999
"Anne Arundel County, MD",24003.0,6902.0,0.19,30.94,38.4,38.62,3289.42,27.18,10.81,48.56,46.11,6902.0,0.19%,30.94,38.4,38.62,3289.42,27.18,10.81,48.56,46.11,24003
"Baltimore County, MD",24005.0,9220.0,0.26,30.25,38.27,38.43,3223.4,27.73,10.89,53.25,45.27,9220.0,0.26%,30.25,38.27,38.43,3223.4,27.73,10.89,53.25,45.27,24005
"Carroll County, MD",24013.0,1778.0,0.05,31.05,38.56,38.72,3396.68,27.01,10.87,43.74,39.68,1778.0,0.05%,31.05,38.56,38.72,3396.68,27.01,10.87,43.74,39.68,24013
"Cecil County, MD",24015.0,1110.0,0.03,29.13,38.38,38.69,3312.13,28.56,10.7,50.27,47.98,1110.0,0.03%,29.13,38.38,38.69,3312.13,28.56,10.7,50.27,47.98,24015
"Charles County, MD",24017.0,1813.0,0.05,30.16,38.24,38.4,3217.6,28.35,10.52,56.99,56.0,1813.0,0.05%,30.16,38.24,38.4,3217.6,28.35,10.52,56.99,56.0,24017
"Frederick County, MD",24021.0,3163.0,0.09,30.84,38.54,38.78,3329.78,26.82,11.22,49.97,46.71,3163.0,0.09%,30.84,38.54,38.78,3329.78,26.82,11.22,49.97,46.71,24021
"Harford County, MD",24025.0,2584.0,0.07,30.36,38.36,38.58,3313.78,27.25,11.81,48.61,45.61,2584.0,0.07%,30.36,38.36,38.58,3313.78,27.25,11.81,48.61,45.61,24025
"Howard County, MD",24027.0,3161.0,0.09,32.0,38.31,38.45,3237.16,26.23,11.16,51.48,41.96,3161.0,0.09%,32.0,38.31,38.45,3237.16,26.23,11.16,51.48,41.96,24027
"Montgomery County, MD",24031.0,11359.0,0.32,32.09,38.43,38.55,3272.31,26.05,10.79,52.83,49.7,11359.0,0.32%,32.09,38.43,38.55,3272.31,26.05,10.79,52.83,49.7,24031
"Prince George's County, MD",24033.0,10642.0,0.3,30.08,38.32,38.47,3210.35,28.25,10.2,58.18,54.42,10642.0,0.30%,30.08,38.32,38.47,3210.35,28.25,10.2,58.18,54.42,24033
"St. Mary's County, MD",24037.0,1388.0,0.04,29.35,38.57,38.77,3359.52,27.8,10.5,47.5,45.51,1388.0,0.04%,29.35,38.57,38.77,3359.52,27.8,10.5,47.5,45.51,24037
"Washington County, MD",24043.0,1569.0,0.04,28.64,38.25,38.54,3249.43,28.28,11.08,52.23,45.32,1569.0,0.04%,28.64,38.25,38.54,3249.43,28.28,11.08,52.23,45.32,24043
"Baltimore city, MD",24510.0,7061.0,0.2,28.97,38.16,38.35,3133.39,27.86,10.02,55.06,44.7,7061.0,0.20%,28.97,38.16,38.35,3133.39,27.86,10.02,55.06,44.7,24510
"Unidentified Counties, MD",24999.0,5415.0,0.15,29.0,38.48,38.73,3281.09,28.07,11.28,50.7,48.15,5415.0,0.15%,29.0,38.48,38.73,3281.09,28.07,11.28,50.7,48.15,24999
"Barnstable County, MA",25001.0,1482.0,0.04,31.49,38.69,38.89,3364.42,26.8,11.49,48.95,45.02,1482.0,0.04%,31.49,38.69,38.89,3364.42,26.8,11.49,48.95,45.02,25001
"Berkshire County, MA",25003.0,946.0,0.03,29.88,38.43,38.42,3250.23,27.57,11.53,54.15,47.16,946.0,0.03%,29.88,38.43,38.42,3250.23,27.57,11.53,54.15,47.16,25003
"Bristol County, MA",25005.0,5691.0,0.16,30.18,38.53,38.69,3250.48,27.9,12.0,54.85,46.12,5691.0,0.16%,30.18,38.53,38.69,3250.48,27.9,12.0,54.85,46.12,25005
"Essex County, MA",25009.0,8355.0,0.23,30.93,38.55,38.75,3302.33,27.14,11.1,53.08,38.55,8355.0,0.23%,30.93,38.55,38.75,3302.33,27.14,11.1,53.08,38.55,25009
"Hampden County, MA",25013.0,4745.0,0.13,29.15,38.34,38.44,3233.84,28.59,10.3,53.35,44.84,4745.0,0.13%,29.15,38.34,38.44,3233.84,28.59,10.3,53.35,44.84,25013
